pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,triangle.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,0.02126560010947287,,0.016975099919363856,0.02126560010947287,1.0158609000500292,1.0158609000500292,1.0158609000500292,1.0158609000500292,1.0330554000101984,2.01564779994078,2.01564779994078,17.567327399970964,print_screen,0,15.547225099988282,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
150,v,0,1,1,1,17.58249930012971,,17.57154870009981,17.58249930012971,18.581994600128382,18.581994600128382,18.581994600128382,18.581994600128382,18.581994600128382,19.58389970008284,19.58389970008284,26.426409899955615,print_screen,0,6.831730999983847,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
50,c,0,2,2,2,26.441372100031003,,26.428582499967888,26.441372100031003,27.44261240004562,27.44261240004562,27.44261240004562,27.44261240004562,27.44261240004562,28.440612300066277,28.440612300066277,30.305789400124922,print_screen,0,1.8609295000787824,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
-150,z,0,3,3,3,30.321463299915195,,30.307122099911794,30.321463299915195,31.305641900049523,31.305641900049523,31.305641900049523,31.305641900049523,31.323744799941778,32.305812699953094,32.305812699953094,35.300421100109816,space,0,2.9842044000979513,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
-50,x,1,0,4,0,35.31566959992051,,35.30155840003863,35.31566959992051,36.31499189999886,36.31499189999886,36.31499189999886,36.31499189999886,36.31499189999886,37.3161923000589,37.3161923000589,39.83064049994573,space,0,2.497779400087893,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
150,v,1,1,5,1,39.84569160011597,,39.83253649994731,39.84569160011597,40.84529610001482,40.84529610001482,40.84529610001482,40.84529610001482,40.84529610001482,41.84330189996399,41.84330189996399,41.92713410011493,delete,0,0.06913809990510345,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
50,c,1,2,6,2,41.94271570001729,,41.92832579999231,41.94271570001729,42.94217739999294,42.94217739999294,42.94217739999294,42.94217739999294,42.94217739999294,43.94145189994015,43.94145189994015,44.7426712999586,print_screen,0,0.791234300006181,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
-150,z,1,3,7,3,44.757092599989846,,44.74468829995021,44.757092599989846,45.744923300109804,45.744923300109804,45.744923300109804,45.744923300109804,45.75928610004485,46.75916040013544,46.75916040013544,52.152469400083646,lcmd,0,5.390958399977535,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
-50,x,2,0,8,0,52.16745910001919,,52.15431510005146,52.16745910001919,53.165774800116196,53.165774800116196,53.165774800116196,53.165774800116196,53.1823674000334,54.164812800008804,54.164812800008804,54.41639699996449,print_screen,0,0.24961930001154542,None,758133,001,2024-10-17_14h38.54.487,MotorSequenceLearning,2024.1.5,None,2024-10-17 14h39.01.079976 +0530,
,,,,,,54.43152710003778,,54.417856600135565,54.43152710003778,55.430590300122276,55.430590300122276,55.430590300122276,55.430590300122276,55.446741099935025,56.42926200013608,56.42926200013608,,,,,,,,,,,,,
